iter,sigma,sigmatwo,romhtwogap,htwogap,absolute
1,10.1439412770134,10.1439412770134,inf,,13.5962877729876
2,1.69723514729156,1.69723514729156,29.2464157335717,0.241850377276697,10.308020445528
3,2.39573519691025,1.69390240540788,467.332337481827,2.04390325394148,38.0975172662621
4,4.77846132660011,2.44276719142362,43.8358165748105,2.22982338933701,7.78019678189755
5,2.37897545012778,2.37897545012778,17.829821197964,0.277812006637437,4.00298479286382
6,5.97496379732091,5.97496379732091,41.8438810626246,0.050602608340959,4.69099241793128
7,5.99124343275552,3.21119996422814,19.5263978674417,0.063393435629483,3.82907702419446
8,6.58570933679422,3.56905555263345,22.2227200467423,1.6019911922041,25.6102102831928
9,11.4779735781139,8.93948357281171,89.6609203191284,1.03011158164479,11.6045167808629
10,4.51035141766919,0.154298418049622,9.14632703360854,0.794552510452532,0.801552198000601
11,6.92894506910911,5.99011393331025,4.14519154539905,0.047691604469562,0.15312341927694
12,5.1651361510747,5.1651361510747,2.76756604905917,0.088284612994496,1.35346642347694
13,0.126881288740509,0.126881288740509,2.36508110644139,0.088287058153711,0.153090174188605
14,0.38893671228086,0.358315222126402,0.012381067248864,4.44985475126226E-07,0.15308412403803
15,0.154966176231024,0.154966176231024,0.005191124532698,1.89689191679054E-07,0.153081544969193
16,0.266017962880629,0.266017962880629,0.00430355213482,5.75080515532338E-08,0.153080763073175
17,0.210073067147172,0.051560480044238,0.000312651411586,4.66362224558658E-08,0.153080128993674
18,0.063196895319008,0.063196895319008,0.000945656224776,2.21944957487153E-09,0.153080098817398
19,0.04510965296736,0.020691961049072,0.000879816132892,2.55126583041622E-08,0.153079751939954
20,0.033052459970654,0.01744941321349,0.000506850374756,7.25436912469196E-10,0.153079761803203
21,0.023624409746598,0.008647205366576,0.000334323333047,2.05445754502672E-09,0.153079733870207
22,0.017130057448511,0.007622428342504,0.000264459298533,5.32453542251657E-11,0.153079734594147
23,0.012287084840708,0.004632494138606,0.00019352043893,8.55174261786271E-09,0.153079618322193
24,0.008850792776533,0.003545042505928,0.000136735208763,1.09211862790648E-08,0.153079766809784
25,0.006362795291713,0.002431681702214,9.89045119526278E-05,2.94617180295938E-09,0.153079726752785
26,0.004567215544018,0.001824640005255,9.1377553973268E-05,1.20813589451286E-09,0.153079710326621
27,0.003286561369691,0.001265643740152,7.67830479375011E-05,4.39094024091412E-09,0.153079650626134
28,0.002355116347364,0.000939185256736,4.3663011862067E-05,1.30281405265021E-09,0.153079668339569
29,0.001695086627972,0.000656037593165,4.80751232191594E-05,1.80219150027954E-09,0.153079692842683
30,0.001213830417972,0.00048331375771,6.16839190276483E-05,1.15104575789411E-08,0.153079849342177
31,0.000873490703198,0.000339279445188,6.63580497745364E-05,8.32918170847463E-09,0.153079736096226
32,0.000625371324147,0.000248665635088,0.000106601944962,2.33979300286665E-09,0.153079704283727
33,0.00044986987495,0.000175220113478,7.32636709557457E-05,2.18852792752138E-09,0.153079734039582
34,0.000322093248612,0.000127921526388,8.21976844409753E-05,1.32667619447078E-08,0.153079553660869
35,0.000231612516582,9.04061312019516E-05,8.28884251759776E-05,8.14734931915363E-09,0.153079664434575
36,0.000165850308811,6.58006207779882E-05,8.23254682459063E-05,4.01868840250358E-09,0.153079719073819
37,0.000119214736493,4.66158005170579E-05,8.53533593591188E-05,3.27984046593509E-09,0.153079674480164
38,8.5381302270354E-05,3.38436129325078E-05,0.000132525738039,1.64430287134773E-09,0.153079696836579
39,6.13515436449266E-05,2.40245203507347E-05,0.000111708228338,5.86777417427927E-09,0.153079617056633
40,4.39466407619857E-05,1.74075990771897E-05,9.51365119038502E-05,9.04938591154003E-09,0.153079740094688
41,3.15690782897843E-05,1.23761751172586E-05,8.73892888820878E-05,8.42908432260174E-09,0.153079625490432
42,2.26183251215128E-05,8.95146720794812E-06,8.08104863702357E-05,6.14763690208528E-09,0.153079709075472
43,1.62440217180861E-05,6.37393599086211E-06,8.10248873156619E-05,1.14032957574902E-08,0.153079864117963
44,1.16396780145624E-05,4.60453277870619E-06,9.73997680070068E-05,1.5569808151657E-08,0.153079652426371
45,8.35736778848641E-06,3.28221294900589E-06,7.26234933633156E-05,8.99815292664754E-09,0.153079774767847
46,5.98919296035062E-06,2.36822488202411E-06,9.52304841403171E-05,6.67185196933686E-09,0.153079684055428
47,4.2991672113701E-06,1.69000000043853E-06,0.000121606720393,5.65866796083967E-09,0.15307960711855
48,3.08010389386025E-06,1.21907655939152E-06,0.000158126870762,1.78492028319489E-09,0.15307963138684
49,2.21008078080355E-06,8.70016305778284E-07,0.000104025418632,1.78397375562596E-09,0.153079607131419
50,1.58438156083665E-06,6.25702721578133E-07,0.000119116805349,3.43767752276733E-09,0.153079560391766
